station_id,station_name,watershed_id,basin_file,river_file,config_file,pour_point,bounding_box,latitude,longitude
32503,Manawatu at Weber Rd,NZ_32503,NZ_32503_basin.shp,NZ_32503_basin.shp,/home/darri.eythorsson/code/CONFLUENCE/0_config_files/nz/config_NZ_32503.yaml,-40.239380494021/176.11588751876957,-40.139380494021/176.01588751876957/-40.339380494021/176.21588751876956,-40.239380494021,176.11588751876957
32504,Manawatu at Hopelands,NZ_32504,NZ_32504_basin.shp,NZ_32504_basin.shp,/home/darri.eythorsson/code/CONFLUENCE/0_config_files/nz/config_NZ_32504.yaml,-40.3597890798782/175.96172048032105,-40.259789079878196/175.86172048032105/-40.4597890798782/176.06172048032104,-40.3597890798782,175.96172048032105
32526,Mangahao at Ballance,NZ_32526,NZ_32526_basin.shp,NZ_32526_basin.shp,/home/darri.eythorsson/code/CONFLUENCE/0_config_files/nz/config_NZ_32526.yaml,-40.43610753429844/175.79172563784482,-40.33610753429844/175.69172563784483/-40.536107534298445/175.89172563784481,-40.43610753429844,175.79172563784482
32529,Tiraumea at Ngaturi,NZ_32529,NZ_32529_basin.shp,NZ_32529_basin.shp,/home/darri.eythorsson/code/CONFLUENCE/0_config_files/nz/config_NZ_32529.yaml,-40.46710221751916/175.92278592703886,-40.36710221751916/175.82278592703886/-40.567102217519164/176.02278592703885,-40.46710221751916,175.92278592703886
32576,Pohangina at Mais Reach,NZ_32576,NZ_32576_basin.shp,NZ_32576_basin.shp,/home/darri.eythorsson/code/CONFLUENCE/0_config_files/nz/config_NZ_32576.yaml,-40.22456891544635/175.78299243152162,-40.124568915446346/175.68299243152163/-40.32456891544635/175.88299243152161,-40.22456891544635,175.78299243152162
