watershed_id,nse,kge,data_points,start_date,end_date
09047700,-2.186931925425171,-0.32246837947172113,4017,2000-01-02,2010-12-31
14187000,-2.0712366630891825,-0.36721507054798774,4017,2000-01-02,2010-12-31
14154500,-2.0280232803040104,-0.368066127592217,4017,2000-01-02,2010-12-31
11528700,-2.0399866602365764,-0.3732482060166178,4017,2000-01-02,2010-12-31
02011460,-1.9836645107343664,-0.37996933949406686,4017,2000-01-02,2010-12-31
03182500,-2.315898774217296,-0.38024903532164944,4017,2000-01-02,2010-12-31
01620500,-1.9313713531593666,-0.38240012308143534,4017,2000-01-02,2010-12-31
03050000,-2.4815761995071544,-0.38411934827233796,4017,2000-01-02,2010-12-31
02011400,-1.8456735904534463,-0.3849578663831541,4017,2000-01-02,2010-12-31
14236200,-2.866195082976723,-0.3866478608757027,4017,2000-01-02,2010-12-31
02015700,-1.7996332872483536,-0.3883568102909407,4017,2000-01-02,2010-12-31
10173450,-1.9521880136035437,-0.38905170423326996,4017,2000-01-02,2010-12-31
01606500,-1.870721752006062,-0.38954266942187976,4017,2000-01-02,2010-12-31
01605500,-1.8231072517262885,-0.3902420177083632,4017,2000-01-02,2010-12-31
01596500,-2.5360138599935227,-0.39084413771846904,4017,2000-01-02,2010-12-31
03180500,-2.6802992103961314,-0.3921193385440229,4017,2000-01-02,2010-12-31
03186500,-2.7556148260493885,-0.39361278415431755,4017,2000-01-02,2010-12-31
01539000,-2.4684028475121598,-0.3941325471551429,4017,2000-01-02,2010-12-31
03070500,-1.8590928305589838,-0.3950421362334815,4017,2000-01-02,2010-12-31
01557500,-2.2233544737569417,-0.39614281787852623,4017,2000-01-02,2010-12-31
01121000,-2.242846082380524,-0.39746623138965087,4017,2000-01-02,2010-12-31
03187500,-2.8660788898690113,-0.3994269953502825,4017,2000-01-02,2010-12-31
01547700,-2.5161575589965532,-0.40101714160449053,4017,2000-01-02,2010-12-31
01123000,-1.9815930301945128,-0.4026006245275713,4017,2000-01-02,2010-12-31
14222500,-1.5520223107608317,-0.4029724840062474,4017,2000-01-02,2010-12-31
03069500,-2.8769471068733403,-0.4034960504976015,4017,2000-01-02,2010-12-31
04122200,-2.0894514486721696,-0.40682855649802563,4017,2000-01-02,2010-12-31
04122500,-2.3776218503861077,-0.4070153168229125,4017,2000-01-02,2010-12-31
01532000,-2.6949921040174005,-0.4088607724364606,4017,2000-01-02,2010-12-31
02016000,-1.5717594608228995,-0.4103460082153665,4017,2000-01-02,2010-12-31
11480390,-1.5555824852651972,-0.4105688612714089,4017,2000-01-02,2010-12-31
09107000,-2.401109295332665,-0.41150780776819307,4017,2000-01-02,2010-12-31
03076600,-2.9663378980013198,-0.4136120841234827,4017,2000-01-02,2010-12-31
01568000,-1.6117702916706707,-0.41426836219153507,4017,2000-01-02,2010-12-31
01440000,-2.913246364750122,-0.41583969407284194,4017,2000-01-02,2010-12-31
03066000,-3.044839480320177,-0.41613179684853985,4017,2000-01-02,2010-12-31
01552000,-2.981933301980467,-0.42181839409715094,4017,2000-01-02,2010-12-31
01552500,-3.018236367483677,-0.4218542854976566,4017,2000-01-02,2010-12-31
01567500,-1.5820841112856154,-0.4223612768609555,4017,2000-01-02,2010-12-31
01550000,-2.9967103861374462,-0.4235548049753348,4017,2000-01-02,2010-12-31
14316700,-3.4019487970902054,-0.4259001833193472,4017,2000-01-02,2010-12-31
10316500,-1.938927926139161,-0.4261499452197741,4017,2000-01-02,2010-12-31
02013000,-1.4511723589289898,-0.42896821155684606,4017,2000-01-02,2010-12-31
10234500,-2.92530277580234,-0.4291475476750304,4017,2000-01-02,2010-12-31
06278300,-1.6395203928162996,-0.42978250430185794,4017,2000-01-02,2010-12-31
01549500,-3.0947378494259725,-0.4301669896894813,4017,2000-01-02,2010-12-31
