ID,Basin_File,River_File,Basin_Path,River_Path,BOUNDING_BOX_COORDS,Lat,Lon,Area_km2
CAN_05LJ045,CAN_05LJ045_distributed_basin.shp,CAN_05LJ045_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05LJ045,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05LJ045,51.18208333333333/-100.85708333333332/50.84875/-100.32958333,51.029400724898295,-100.59476291312752,672.5553101709819
CAN_05OB016,CAN_05OB016_distributed_basin.shp,CAN_05OB016_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OB016,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OB016,49.02291666666666/-98.90291666666666/48.64208333333334/-98.31708333333334,48.82530600693896,-98.62859493287257,823.1978944756453
CAN_02ZH001,CAN_02ZH001_distributed_basin.shp,CAN_02ZH001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02ZH001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02ZH001,48.23791666666666/-54.73791666666666/47.86625000000001/-54.184583333333364,48.05786238029148,-54.46201854395563,804.2175723571515
CAN_07FD013,CAN_07FD013_distributed_basin.shp,CAN_07FD013_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07FD013,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07FD013,56.65958333333333/-119.21374999999999/56.36791666666667/-118.57208333333335,56.52443171127426,-118.90909614422333,805.7578708770061
CAN_05OF014,CAN_05OF014_distributed_basin.shp,CAN_05OF014_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OF014,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OF014,49.39708333333333/-98.54541666666667/49.19458333333334/-97.42041666666667,49.295465723689254,-98.06085669800916,691.861925979852
CAN_08JD006,CAN_08JD006_distributed_basin.shp,CAN_08JD006_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08JD006,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08JD006,56.28458333333333/-127.03708333333333/55.802083333333336/-126.61708333333334,56.06783542113004,-126.82225437515189,725.8488305422782
CAN_08LE024,CAN_08LE024_distributed_basin.shp,CAN_08LE024_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08LE024,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08LE024,51.315416666666664/-118.85291667/50.882083333333334/-118.31458333333335,51.06226265133872,-118.60409532174074,939.0410059338186
CAN_07AG003,CAN_07AG003_distributed_basin.shp,CAN_07AG003_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07AG003,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07AG003,53.609583333333326/-116.39541666666668/53.123750000000015/-115.95375000000001,53.37274110594601,-116.17347500329058,710.7965551186858
CAN_05NF006,CAN_05NF006_distributed_basin.shp,CAN_05NF006_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05NF006,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05NF006,49.90458333333333/-102.08624999999999/49.20708333/-101.59541666666667,49.55176433100422,-101.76706462835398,700.5288775760289
CAN_05BM014,CAN_05BM014_distributed_basin.shp,CAN_05BM014_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BM014,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BM014,50.77208333/-113.56208333333332/50.36041666666667/-113.20208333333333,50.56997671604382,-113.3851991156388,790.7278718258534
CAN_07BA002,CAN_07BA002_distributed_basin.shp,CAN_07BA002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07BA002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07BA002,53.45791666666667/-116.22458333333334/53.11458333/-115.47125,53.301203603043035,-115.81291324336837,760.5781208147835
CAN_05KE010,CAN_05KE010_distributed_basin.shp,CAN_05KE010_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05KE010,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05KE010,54.15958333333333/-105.16291666666667/53.84791666666667/-104.61708333333334,53.98459228812757,-104.90231747074137,648.5783219689796
